wars,from,to,duration,notes,participation, number_participants,who,where,fatalities,url_source,memorials,links
La Matanza ,1932,1932,0,,El Salvador,1,North America,North America,"2,600","El Salvador, La Matanza",,"http://www.war-memorial.net/El-Salvador,-La-Matanza-3.65"
Brazilian Revolt,1932,1932,0,,Brazil,1,South America,South America,"1,000",Brazilian Revolt,,http://www.war-memorial.net/Brazilian-Revolt-3.66
Aprista Revolt in Peru,1932,1932,0,,Peru,1,South America,South America,"1,100",Aprista Revolt in Peru,,http://www.war-memorial.net/Aprista-Revolt-in-Peru-3.297
Saya San Rebellion,1930,1932,2,,"United Kingdom, Myanmar",2,"Europe, Asia",Asia,"1,140",Saya San Rebellion,,http://www.war-memorial.net/Saya-San-Rebellion-3.289
Senussi Orden vs Italy,1920,1932,12,,"Italy, Lybia",2,"Europe, Africa",Africa,"40,000",Senussi Orden vs Italy,,http://www.war-memorial.net/Senussi-Orden--vs-Italy-3.64
The Yen Bai Uprising,1930,1931,1,,"Vietnam, France",2,"Europe, Asia",Asia,"1,000",The Y�n B�i Uprising,,http://www.war-memorial.net/The-Y%C3%AAn-B%C3%A1i-Uprising-3.63
Ikhwan Revolt,1929,1930,1,,Saudi Arabia,1,Asia,Asia,"5,500",Ikhwan Revolt,,http://www.war-memorial.net/Ikhwan-Revolt-3.295
Kuomintang vs Warlords,1929,1930,1,,China,1,Asia,Asia,"75,000",Kuomintang vs warlords,,http://www.war-memorial.net/Kuomintang-vs-warlords-3.61
Escobar Rebellion,1929,1929,0,,Mexico,1,North America,North America,"2,000",Escobar Rebellion,,http://www.war-memorial.net/Escobar-Rebellion-3.294
Sino-Soviet war,1929,1929,0,,"Soviet Union, China",2,"Europe, Asia","Europe, Asia","3,200",Sino-Soviet war,,http://www.war-memorial.net/Sino-Soviet-war-3.59
Second Afghan Anti-Reform War,1928,1929,1,,Afghanistan,1,Asia,Asia,"15,000",Second Afghan Anti-Reform War,,http://www.war-memorial.net/Second-Afghan-Anti-Reform-War-3.58
The Cristero War,1926,1929,3,,Mexico,1,North America,North America,"10,000",The Cristero War,,http://www.war-memorial.net/The-Cristero-War-3.60
Kuomintang vs Gansu Rebels,1928,1928,0,,China,1,Asia,Asia,"200,000",Kuomintang vs Gansu Rebels,,http://www.war-memorial.net/Kuomintang-vs-Gansu-Rebels-3.57
Northern Expedition,1926,1928,2,,China,1,Asia,Asia,"126,500",Northern Expedition,,http://www.war-memorial.net/Northern-Expedition-3.56
Druze revolt,1925,1927,2,,"France, Syria",2,"Europe, Asia",Asia,"6,000",Druze revolt,,http://www.war-memorial.net/Druze-revolt-3.54
Third Chinese Warlord War,1925,1926,1,,China,1,Asia,Asia,"1,000",Third Chinese Warlord War,,http://www.war-memorial.net/Third-Chinese-Warlord-War-3.311
Third Rif War,1920,1926,6,Morocco has been added to the list of participants.,"Spain, France, Morocco",3,"Europe, Africa",Africa,"70,000",Third Rif War,,http://www.war-memorial.net/Third-Rif-War-3.53
Afghan rebels vs govt,1924,1925,1,,Afghanistan,1,Asia,Asia,"2,000",Afghan rebels vs govt,,http://www.war-memorial.net/Afghan-rebels-vs-govt-3.52
Nejd-Hejaz Wars,1919,1925,6,,Saudi Arabia,1,Asia,Asia,"4,000",Nejd-Hejaz Wars,,http://www.war-memorial.net/Nejd-Hejaz-Wars-3.283
Honduras Coup,1924,1924,0,,Honduras,1,North America,North America,"1,000",Honduras Coup,,http://www.war-memorial.net/Honduras-Coup-3.51
Soviet-Turkestan War,1921,1923,2,,"Russia, Turkestan",2,"Europe, Asia	","Europe, Asia","3,500",Soviet-Turkestan War,,http://www.war-memorial.net/Soviet-Turkestan-War-3.293
Second Chinese Warlord War,1922,1922,0,,China,1,Asia,Asia,"20,000",Second Chinese Warlord War,,http://www.war-memorial.net/Second-Chinese-Warlord-War-3.310
Moplah Riots in Kerala,1921,1922,1,,"India, United Kingdom",2,"Europe, Asia	",Asia,"2,450",Moplah Riots in Kerala,,http://www.war-memorial.net/Moplah-Riots-in-Kerala-3.48
Ireland freestaters vs Irregulars,1921,1922,1,,Ireland,1,Europe,Europe,"4,000",Ireland freestaters vs Irregulars,,http://www.war-memorial.net/Ireland-freestaters-vs-Irregulars--3.50
Blackshirts vs Leftists,1920,1922,2,,Italy,1,Europe,Europe,"3,300",Blackshirts vs Leftists,,http://www.war-memorial.net/Blackshirts-vs-Leftists-3.291
Second Greco Turkish War,1919,1922,3,,"Greece, Turkey",2,"Europe, Asia	","Europe, Asia","50,000",Second Greco Turkish War,,http://www.war-memorial.net/Second-Greco-Turkish-War-3.49
Russian Revolution and Civil War,1917,1922,5,,"Russia, United Kingdom, France, Japan, United States, Soviet Union",6,"Europe, Asia, North America	","Europe, Asia","802,225",Russian Revolution and Civil War,[1],http://www.war-memorial.net/Russian-Revolution-and-Civil-War-3.47
Kronstadt Rebellion,1921,1921,0,"This conflict is marked as Europe and Asia, because the Soviet Union was a transcontinental country which straddles Euroasia.",Soviet Union,1,"Europe, Asia	","Europe, Asia","2,600",Kronstadt Rebellion,,http://www.war-memorial.net/Kronstadt-Rebellion-3.292
Conquest of Mongolia,1920,1921,1,"Although the Soviet Union was a transcontinental country which straddles Euroasia, this conflict took place in Asia.","China, Soviet Union",2,"Europe, Asia	",Asia,"4,000",Conquest of Mongolia,,http://www.war-memorial.net/Conquest-of-Mongolia-3.287
Green Rebellion,1920,1921,1,"This conflict is marked as Europe and Asia, because the Soviet Union was a transcontinental country which straddles Euroasia.",Soviet Union,1,"Europe, Asia	","Europe, Asia","6,700",Green Rebellion,,http://www.war-memorial.net/Green-Rebellion-3.290
Iraq vs UK,1920,1921,1,,"United Kingdom, Iraq",2,"Europe, Asia	","Europe, Asia","9,540",Iraq vs UK,,http://www.war-memorial.net/Iraq-vs-UK-3.46
Turkish War of Independence,1919,1921,2,,"France, Turkey",2,"Europe, Asia	","Europe, Asia","40,000",Turkish War of Independence,,http://www.war-memorial.net/Turkish-War-of-Independence-3.45
First Chinese Warlord War,1920,1920,0,,China,1,Asia,Asia,"35,000",First Chinese Warlord War,,http://www.war-memorial.net/First-Chinese-Warlord-War-3.309
Franco-Syrian war,1920,1920,0,,"France, Syria",2,"Europe, Asia",Asia,"3,500",Franco-Syrian war,[1],http://www.war-memorial.net/Franco-Syrian-war--3.42
Lithuanian-Polish War,1920,1920,0,,"Poland, Lithuania",2,Europe,Europe,"1,000",Lithuanian-Polish War,,http://www.war-memorial.net/Lithuanian-Polish-War-3.285
Hungary Civil War,1919,1920,1,"United States, Romania, Yugoslavia and Czechoslovakia were added to the list of participants.","Hungary, United States, Romania, Yugoslavia, Czechoslovakia",5,"Europe, North America",Europe,"1,500",Hungary Civil War,,http://www.war-memorial.net/Hungary-Civil-War-3.40
Polish-Soviet War,1919,1920,1,,"Soviet Union, Poland",2,"Europe, Asia	",Europe,"100,000",Polish-Soviet War,,http://www.war-memorial.net/Polish-Soviet-War-3.41
First British-Waziristan War,1919,1920,1,India was added to the list of participants.,"United Kingdom, Pakistan, India",3,"Europe, Asia",Asia,"2,000",First British-Waziristan War,,http://www.war-memorial.net/First-British-Waziristan-War-3.286
Estonian Liberation War,1918,1920,2,,"Soviet Union, Finland, Estonia",3,"Europe, Asia	",Europe,"11,750",Estonian Liberation War,[2],http://www.war-memorial.net/Estonian-Liberation-War-3.279
Latvian Liberation,1918,1920,2,,"Soviet Union, Germany, Latvia, Estonia",4,"Europe, Asia	",Europe,"13,246",Latvian Liberation,,http://www.war-memorial.net/Latvian-Liberation-3.280
Caco Revolt,1918,1920,2,,"United States, Haiti",2,North America,North America,"2,102",Caco Revolt,,http://www.war-memorial.net/Caco-Revolt-3.282
Mexican Revolution,1910,1920,10,,Mexico,1,North America,North America,"125,000",Mexican Revolution,[1],http://www.war-memorial.net/Mexican-Revolution--3.39
"The Dervish State vs Ethiopia, Britain and Italy",1899,1920,21,,"United Kingdom, Somalia, Ethiopia, Dervish State, Italy",5,"Europe, Africa",Africa,"6,000","The Dervish State vs Ethiopia, Britain and Italy",,"http://www.war-memorial.net/The-Dervish-State-vs-Ethiopia,-Britain-and-Italy-3.9"
Sparticist Rising,1919,1919,0,,Germany,1,Europe,Europe,"2,170",Sparticist Rising,,http://www.war-memorial.net/Sparticist-Rising-3.284
Hungarian Romanian War,1919,1919,0,,"Romania, Hungary",2,Europe,Europe,"11,000",Hungarian_Romanian War of 1919,,http://www.war-memorial.net/Hungarian%E2%80%93Romanian-War-of-1919-3.36
Third Anglo-Afghan War,1919,1919,0,,"Afghanistan, United Kingdom",2,"Europe, Asia",Asia,"2,136",Third Anglo-Afghan War,,http://www.war-memorial.net/Third-Anglo-Afghan-War-3.37
Finnish Civil War,1918,1918,0,Germany and Russia were added to the list of participants.,"Finland, Germany, Russia",3,"Europe, Asia",Europe,"15,150",Finnish Civil War,[1],http://www.war-memorial.net/Finnish-Civil-War-3.35
Second Sino-Tibetan,1918,1918,0,,China,1,Asia,Asia,"1,500",Second Sino-Tibetan,,http://www.war-memorial.net/Second-Sino-Tibetan-3.281
Southern China Revolt,1915,1918,3,,China,1,Asia,Asia,"1,000",Southern China Revolt,,http://www.war-memorial.net/Southern-China-Revolt-3.29
World War I,1914,1918,4,"Si consultas la misma visualización publicada en The Infographic History of the World, ten en cuenta que los datos de origen han sido actualizados."," Australia, Germany, France, United Kingdom, Italy, Russia, Greece, Hungary, Turkey, United States, Austria, Andorra, Belgium, Brazil, China, Cuba, Costa Rica, Guatemala, Haiti, Honduras, Japan, Liberia, Montenegro, Nepal, Nicaragua, Panama, Portugal, Romania, Russia, San Marino, Serbia, Thailand, Canada, Australia, Malta, New Zealand, South Africa, Philippines, Puerto Rico, Azerbaijan, Bulgaria, Austria-Hungary, Dervish State, Jabal Shammar, Ottoman Empire",45,"Asia, Europe, North America, South America, Africa","Asia, Europe, North America, South America, Africa","10,670,868",World War I,[12],http://www.war-memorial.net/World-War-I-3.32
Russia-Turkestan,1916,1917,1,,"Russia, Turkestan",2,"Europe, Asia	",Asia,"1,350",Russia-Turkestan,,http://www.war-memorial.net/Russia-Turkestan-3.278
Chinese Govt vs Bai Lang Rebels,1914,1914,0,,China,1,Asia,Asia,"5,000",Chinese Govt vs Bai Lang (White Wolf) Rebels,,http://www.war-memorial.net/Chinese-Govt-vs-Bai-Lang-(White-Wolf)-Rebels-3.28
2nd Balkan War,1913,1913,0,,"Yugoslavia, Greece, Bulgaria, Ottoman Empire, Romania",5,"Europe","Europe","60,500",2nd Balkan War,,http://www.war-memorial.net/2nd-Balkan-War--3.26
Kuomintang vs Chinese Army,1913,1913,0,,China,1,Asia,Asia,"5,000",Kuomintang vs Chinese Army,,http://www.war-memorial.net/Kuomintang-vs-Chinese-Army--3.27
Moro Rebellion,1913,1913,0,"Where the conflict took place: Philippines, Asia.","United States, Philippines",2,"North America, Asia",Asia,"15,050",Moro Rebellion,,http://www.war-memorial.net/Moro-Rebellion-3.277
1st Balkan War,1912,1913,1,,"Serbia, Montenegro, Greece, Bulgaria, Macedonia, Ottoman Empire",6,"Europe","Europe","82,000",1st Balkan War,[1],http://www.war-memorial.net/1st-Balkan-War-3.25
Paraguay Coups,1911,1912,1,,Paraguay,1,South America,South America,"5,000",Paraguay Coups,,http://www.war-memorial.net/Paraguay-Coups-3.22
Italo-Turkish War,1911,1912,1,"Ottoman Empire was one of the most powerful states in the world during the 15th and 16th centuries. It spanned more than 600 years and came to an end only in 1922, when it was replaced by the Turkish Republic and various successor states in southeastern Europe and the Middle East. ","Italy, Ottoman Empire",2,"Europe, Asia, Africa",Africa,"20,000",Italo-Turkish War,,http://www.war-memorial.net/Italo-Turkish-War-3.23
First Sino-Tibetan War,1911,1912,1,,China,1,Asia,Asia,"2,000",First Sino-Tibetan War,,http://www.war-memorial.net/First-Sino-Tibetan-War-3.24
Cuba vs Partido Independiente de Color,1911,1911,0,,"Cuba, United States",2,"North America, South America",North America,"1,050",Cuba vs Partido Independiente de Color,,http://www.war-memorial.net/Cuba-vs-Partido-Independiente-de-Color-3.276
Chinese Revolution,1911,1911,0,,China,1,Asia,Asia,"1,000",Chinese Revolution,[2],http://www.war-memorial.net/Chinese-Revolution--3.21
Asir-Yemen Revolt,1910,1911,1,"Ottoman Empire was one of the most powerful states in the world during the 15th and 16th centuries. It spanned more than 600 years and came to an end only in 1922, when it was replaced by the Turkish Republic and various successor states in southeastern Europe and the Middle East. ","Yemen, Ottoman Empire",2,Asia,Asia,"9,000",Asir-Yemen Revolt,,http://www.war-memorial.net/Asir-Yemen-Revolt-3.275
French Conquest of Wadai Sultanate,1909,1911,2,,"France, Chad",2,"Europe, Africa",Africa,"12,000",French Conquest of Wadai Sultanate,,http://www.war-memorial.net/French-Conquest-of-Wadai-Sultanate-3.274
The second Rif War,1909,1910,1,,"Morocco, Spain",2,"Africa, Europe",Africa,"10,000",The second Rif War,,http://www.war-memorial.net/The-second-Rif-War-3.19
Portugese war against Dembos,1907,1910,3,,"Angola, Portugal",2,"Africa, Europe",Africa,"5,100",Portugese war against Dembos,,http://www.war-memorial.net/Portugese-war-against-Dembos-3.271
Ma al-Aynayn's Anti-Colonial Insurgency,1907,1910,3,,"Morocco, France",2,"Africa, Europe",Africa,"3,150",Ma al-�Aynayn�s Anti-Colonial Insurgency,,http://www.war-memorial.net/Ma-al-%E2%80%99Aynayn%E2%80%99s-Anti-Colonial-Insurgency--3.272
Korean guerilla war against Japanese occupation,1907,1910,3,,"South Korea, Japan",2,Asia,Asia,"17,736",Korean guerilla war against Japanese occupation,,http://www.war-memorial.net/Korean-guerilla-war-against-Japanese-occupation-3.273
Iranian Constitution War,1908,1909,1,"The location is marked as Europe and Asia, because Russia is a transcontinental country which straddles Euroasia.","Iran, Russia",2,"Europe, Asia	","Europe, Asia","1,100",Iranian Constitution War,,http://www.war-memorial.net/Iranian-Constitution-War-3.18
Morocco unrest,1907,1908,1,,"Morocco, France",2,"Europe, Africa",Africa,"1,400",Morocco unrest,,http://www.war-memorial.net/Morocco-unrest-3.17
Romanian Peasant Revolt,1907,1907,0,The western part of Moldavia is now part of Romania.,Romania,1,Europe,Europe,"2,000",Romanian Peasant Revolt,,http://www.war-memorial.net/Romanian-Peasant-Revolt-3.16
Fourth Central American war,1907,1907,0,,"Honduras, El Salvador, Nicaragua",3,North America,North America,"1,000",Fourth Central American war,,http://www.war-memorial.net/4th-Central-American-war--3.15
Dutch-Achinese War,1904,1907,3,,"Netherlands, Sumatra",2,"Europe, Africa",Africa,"24,200",Dutch-Achinese War,,http://www.war-memorial.net/Dutch-Achinese-War-3.269
Sokoto and UK vs Mahdist Revolt,1906,1906,0,,"Nigeria, United Kingdom",2,"Africa, Europe",Africa,"2,080",Sokoto and UK vs Mahdist Revolt,,http://www.war-memorial.net/Sokoto-and-UK-vs-Mahdist-Revolt-3.270
Zulu Rebellion,1906,1906,0,,"Natal, United Kingdom",2,"Africa, Europe",Africa,"2,356",Zulu Rebellion,,http://www.war-memorial.net/Zulu-Rebellion-3.13
Third Central American war,1906,1906,0,,"Honduras, El Salvador, Guatemala",3,North America,North America,"1,000",Third Central American war,,http://www.war-memorial.net/Third-Central-American-war--3.14
Russian Revolution,1905,1906,1,"The location is marked as both Europe and Asia, because Russia is a transcontinental country which straddles Euroasia.",Russia,1,"Europe, Asia","Europe, Asia","1,500",Russian Revolution 1905,,http://www.war-memorial.net/Russian-Revolution-1905--3.7
Maji Maji revolt,1905,1906,1,,"Germany, Tanzania",2,"Africa, Europe",Africa,"8,840",Maji Maji revolt,,http://www.war-memorial.net/Maji-Maji-revolt-3.12
Russo-Japanese war,1904,1905,1,,"Russia, Japan",2,Asia,Asia,"151,831",Russo-Japanese war,[1],http://www.war-memorial.net/Russo-Japanese-war-3.10
Southwest African Revolt,1904,1905,1,Namibia was added to the list of participants.,"Germany, Namibia",2,"Africa, Europe",Africa,"12,800",Southwest African Revolt,[1],http://www.war-memorial.net/Southwest-African-Revolt-3.11
Uruguay Civil War,1904,1904,0,,Uruguay,1,South America,South America,"1,000",Uruguay Civil War,,http://www.war-memorial.net/Uruguay-Civil-War-3.8
Second Yemen Rebellion,1904,1904,0,"Ottoman Empire was one of the most powerful states in the world during the 15th and 16th centuries. It spanned more than 600 years and came to an end only in 1922, when it was replaced by the Turkish Republic and various successor states in southeastern Europe and the Middle East. ","Yemen, Ottoman Empire",2,Asia,Asia,"30,000",Second Yemen Rebellion,,http://www.war-memorial.net/Second-Yemen-Rebellion-3.266
Uprisings in Colonial Angola,1902,1904,2,,"Angola, Portugal",2,"Europe, Africa",Africa,"2,000",Uprisings in Colonial Angola,,http://www.war-memorial.net/Uprisings-in-Colonial-Angola-3.268
Ilinden Uprising,1903,1903,0,"Ottoman Empire was one of the most powerful states in the world during the 15th and 16th centuries. It spanned more than 600 years and came to an end only in 1922, when it was replaced by the Turkish Republic and various successor states in southeastern Europe and the Middle East. ",Ottoman Empire,1,"Europe, Asia",Asia,"6,330",Ilinden Uprising,,http://www.war-memorial.net/Ilinden-Uprising-3.6
The War of a Thousand Days,1899,1903,4,,Colombia,1,South America,South America,"100,000",The War of a Thousand Days,,http://www.war-memorial.net/The-War-of-a-Thousand-Days---3.5
Philippine insurrection,1899,1902,3,,"Philippines, United States",2,"America, Asia",Asia,"20,500",Philippine insurrection,,http://www.war-memorial.net/Philippine-insurrection--3.3
Second Boer war,1899,1902,3,"Australia, Canada, South Africa were added to the list of participants.","United Kingdom, Canada, Australia, South Africa, Zuid-Afrikaansche Republiek",4,"Africa, Europe, North America",Africa,"30,800",Second Boer war,,http://www.war-memorial.net/Second-Boer-war-3.4
The Boxer Rebellion,1900,1900,0,,"China, United Kingdom, Japan, Russia, France, United States, Germany, Italy, Austria-Hungary",9,Asia,Asia,"3,003",The Boxer Rebellion,,http://www.war-memorial.net/The-Boxer-Rebellion-3.1
Sino-Russian War,1900,1900,0,,"Russia, China",2,Asia,Asia,"4,000",Sino-Russian War,,http://www.war-memorial.net/Sino-Russian-War-3.267
